"","Lineage_Name","n_sites","n_bird_individuals","n_status","riqueza","n_biomas","n_regioes"
"197","HEMFRO01",1,2,1,1,1,1
"198","HESEL01",2,2,1,2,2,2
"199","Hp1477/478",1,2,2,2,1,1
"200","Hp2458/478",1,2,2,2,1,1
"201","ISLHAU01",2,2,1,1,1,1
"202","LEPCOR05",2,2,1,1,1,1
"203","LEPNAT01",1,2,1,1,1,1
"204","LERUF01",2,2,1,2,1,1
"205","MIMTRI01",1,2,2,2,1,1
"206","MOBON01",2,2,1,2,2,2
"207","MYARAL01",1,2,1,1,1,1
"208","MYITIR01",1,2,1,1,1,1
"209","MYMAC02",2,2,1,1,2,2
"210","MYRAXI09",2,2,1,1,1,1
"211","MYRHEM02",2,2,1,2,2,2
"212","MYRLON02",2,2,1,2,1,1
"213","MYRLON06",1,2,1,2,1,1
"214","NEPIL01",1,2,1,2,1,1
"215","NYCNYC01",1,2,1,2,1,1
"216","PAPOL02",2,2,2,2,1,1
"217","PHASYR01",1,2,1,2,1,1
"218","PIRFLA05",1,2,1,1,1,1
"219","PSOOCH01",1,2,1,1,1,1
"220","RECOB4",2,2,1,1,1,1
"221","SALATR01",1,2,1,1,1,1
"222","SPMAG04",2,2,1,2,2,2
"223","SPMEN03",2,2,1,2,1,1
"224","SUISUI03",1,2,1,1,1,1
"225","TACPHO01",1,2,2,2,1,1
"226","TANVAS02",2,2,1,2,1,1
"227","TASCH01",1,2,1,2,1,1
"228","TFUS06",2,2,1,1,1,1
"229","THACAE09",2,2,1,1,1,1
"230","THAMB09",1,2,1,2,1,1
"231","THPEL01",1,2,1,1,1,1
"232","THSAY02",1,2,1,1,1,1
"233","TOFLA02",2,2,1,2,1,1
"234","TOFLA03",1,2,1,1,1,1
"235","TOSUL01",2,2,1,1,1,1
"236","TREML02",1,2,1,1,1,1
"237","TROAED12",1,2,1,1,1,1
"238","TROAED13",2,2,1,2,1,1
"239","TROAED22",2,2,2,2,1,1
"240","TROPER01",2,2,1,1,1,2
"241","TULEU02",2,2,1,1,2,1
"242","TULEU03",2,2,1,1,1,2
"243","TULEU04",1,2,1,1,1,1
"244","TURLEU01",2,2,1,2,2,2
"245","VIOLI04",1,2,2,2,1,1
"246","VIOLI05",2,2,1,1,2,2
"247","WILPOE17",1,2,1,2,1,1
"248","WILPOE19",1,2,1,1,1,1
"249","WW3",2,2,1,2,1,1
"250","29092",1,1,1,1,1,1
"251","ABUCUJ01",1,1,1,1,1,1
"252","ADEMEL01",1,1,1,1,1,1
"253","AFR025",1,1,1,1,1,1
"254","AFR028",1,1,1,1,1,1
"255","AGEBAD02",1,1,1,1,1,1
"256","ALEDIA01",1,1,1,1,1,1
"257","AMABRA01",1,1,1,1,1,1
"258","ANGAL01",1,1,1,1,1,1
"259","ANIGN01",1,1,1,1,1,1
"260","ANSOM01",1,1,1,1,1,1
"261","ARAJAN01",1,1,1,1,1,1
"262","ARBRU01",1,1,1,1,1,1
"263","ARRTAC02",1,1,1,1,1,1
"264","ARRTAC05",1,1,1,1,1,1
"265","ATLBRU01",1,1,1,1,1,1
"266","ATMEL01",1,1,1,1,1,1
"267","ATPAL02",1,1,1,1,1,1
"268","ATTCIN01",1,1,1,1,1,1
"269","AUTINF01",1,1,1,1,1,1
"270","AUTINF02",1,1,1,1,1,1
"271","AUTINF03",1,1,1,1,1,1
"272","AUTOCH01",1,1,1,1,1,1
"273","AUTOCH02",1,1,1,1,1,1
"274","AUTOCH03",1,1,1,1,1,1
"275","AUTRUF01",1,1,1,1,1,1
"276","BAFLA05",1,1,1,1,1,1
"277","BASTRI01",1,1,1,1,1,1
"278","BO6",1,1,1,1,1,1
"279","BUL07",1,1,1,1,1,1
"280","CAINO01",1,1,1,1,1,1
"281","CAMRUB01",1,1,1,1,1,1
"282","CANLEU02",1,1,1,1,1,1
"283","CANLEU03",1,1,1,1,1,1
"284","CANLEU04",1,1,1,1,1,1
"285","CASFUS01",1,1,1,1,1,1
"286","CATUST21",1,1,1,1,1,1
"287","CERCIN01",1,1,1,1,1,1
"288","CERCIN03",1,1,1,1,1,1
"289","CERCIN04",1,1,1,1,1,1
"290","CERRUB01",1,1,1,1,1,1
"291","CERSER01",1,1,1,1,1,1
"292","CHACAM01",1,1,1,1,1,1
"293","CHACAM03",1,1,1,1,1,1
"294","CHCAM01",1,1,1,1,1,1
"295","CHLAEN01",1,1,1,1,1,1
"296","CHLAME01",1,1,1,1,1,1
"297","CHLIND01",1,1,1,1,1,1
"298","CHLOPH01",1,1,1,1,1,1
"299","CHLSPI01",1,1,1,1,1,1
"300","CHLSPI02",1,1,1,1,1,1
"301","CLAPRE01",1,1,1,1,1,1
"302","CMV-2012haplotypeH2",1,1,1,1,1,1
"303","COECOE01",1,1,1,1,1,1
"304","COHEL01",1,1,1,1,1,1
"305","COLBUC01",1,1,1,1,1,1
"306","COLIN06",1,1,1,1,1,1
"307","COLIN07",1,1,1,1,1,1
"308","COLIN09",1,1,1,1,1,1
"309","COLIN15",1,1,1,1,1,1
"310","COLIV03",1,1,1,1,1,1
"311","COLIV06",1,1,1,1,1,1
"312","COLPAS06",1,1,1,1,1,1
"313","COLPLU02",1,1,1,1,1,1
"314","COLSQU04",1,1,1,1,1,1
"315","COLSU04",1,1,1,1,1,1
"316","COLTAL01",1,1,1,1,1,1
"317","COLTAL02",1,1,1,1,1,1
"318","CONAUR01",1,1,1,1,1,1
"319","COQUI05",1,1,1,1,1,1
"320","CORCUC01",1,1,1,1,1,1
"321","CORPIL06",1,1,1,1,1,1
