"","Lineage_Name","site","n_sites","n_bird_individuals","n_status","riqueza","n_biomas","n_regioes"
"234","COTAL01","Mata_Seca",1,2,1,1,1,1
"235","CYPHIR04","Gra1",1,2,1,1,1,1
"236","DENPET03","Aeroporto_de_BSB",1,2,2,2,1,1
"237","DENPET03","ESEC-Serra_Negra_do_Norte/RN",1,2,1,2,1,1
"238","DENPET03","RondIL",1,2,1,2,1,1
"239","DETUR01","Ina3",1,2,1,1,1,1
"240","DIGCAE01","Bosque_Palacio",1,2,1,2,1,1
"241","DIGCAE01","Hual2",1,2,1,2,1,1
"242","DYSMEN02","Hual4",1,2,1,2,1,1
"243","ELALB01","CLBI-Parnamirim/RN",1,2,2,2,1,1
"244","ELALB01","ESEC-Serra_Negra_do_Norte/RN",1,2,1,2,1,1
"245","ELFLA01","Aracruz",1,2,2,2,1,1
"246","FOCOL01","Sooretama",1,2,1,1,1,1
"247","FOMEL01","Mata_Seca",1,2,1,1,1,1
"248","FORANA02","Hual5",1,2,1,1,1,1
"249","FORCOL06","Ina1",1,2,1,1,1,1
"250","FOSER01","Caratinga",1,2,1,2,1,1
"251","FURLEU01","Ina2",1,2,1,2,1,1
"252","FURLEU01","Pan1",1,2,1,1,1,1
"253","GALLUS01","Sooretama",1,2,1,1,1,1
"254","GEOTRI02","Hual5",1,2,1,2,1,1
"255","GEOTRY01","Gui2",1,2,1,1,1,1
"256","GLYSPI06","Jau1",1,2,1,1,1,1
"257","GRW06","Ina2",1,2,1,2,1,1
"258","GRW06","Ina3",1,2,1,1,1,1
"259","HEAME01","Chingaza_NNP,_Palacio_Forest",1,2,2,2,1,1
"260","HEMATR01","Bosque_Palacio",1,2,1,2,1,1
"261","HEMFRO01","Hual3",1,2,1,1,1,1
"262","Hp1477/478","ESEC-Serra_Negra_do_Norte/RN",1,2,2,2,1,1
"263","Hp2458/478","ESEC-Serra_Negra_do_Norte/RN",1,2,2,2,1,1
"264","HYPSTR07","Rond1",1,2,1,2,1,1
"265","ICTCAY01","Nova_Lima",1,2,1,1,1,1
"266","ICTCAY01","Saj1",1,2,1,2,1,1
"267","LEAMA01","Jequitinhonha",1,2,1,1,1,1
"268","LEPCOR03","Jau1",1,2,1,2,1,1
"269","LEPCOR04","Gui1",1,2,1,2,1,1
"270","LEPNAT01","Rond5",1,2,1,1,1,1
"271","MASTR01","Aracruz",1,2,1,2,1,1
"272","MASTR01","Fazenda_St._Maria",1,2,1,1,1,1
"273","MIMTRI01","Esp1",1,2,2,2,1,1
"274","MYARAL01","Hual3",1,2,1,1,1,1
"275","MYCAME02","Pan2",1,2,1,2,1,1
"276","MYITIR01","ESEC-Serra_Negra_do_Norte/RN",1,2,1,1,1,1
"277","MYITYR01","Bel1",1,2,1,2,1,1
"278","MYITYR01","Felixlandia",1,2,1,1,1,1
"279","MYRAXI01","Rond1",1,2,1,2,1,1
"280","MYRAXI01","Tap1",1,2,1,1,1,1
"281","MYRAXI03","Bel1",1,2,1,1,1,1
"282","MYRAXI03","Rond1",1,2,1,1,1,1
"283","MYRAXI03","Rond4",1,2,1,1,1,1
"284","MYRLON06","Xing1",1,2,1,2,1,1
"285","NEOFAS02","Aeroporto_de_BSB",1,2,1,2,1,1
"286","NEOFAS03","Parque_Nacional_de_Brasí_lia",1,2,2,2,1,1
"287","NEPIL01","Salto_da_Divisa",1,2,1,2,1,1
"288","NYCNYC01","Sao_Paulo_Zoo",1,2,1,2,1,1
"289","PACPEC02","Tiputini",1,2,1,1,1,1
"290","PADOM09","Aracruz",1,2,2,2,1,1
"291","PADOM09","Bel1",1,2,1,2,1,1
"292","PADOM09","Canela",1,2,1,1,1,1
"293","PADOM09","Gra1",1,2,1,1,1,1
"294","PADOM09","Gui2",1,2,1,2,1,1
"295","PADOM09","Huacapongo",1,2,1,1,1,1
"296","PADOM09","Joi1",1,2,1,1,1,1
"297","PADOM09","Rond4",1,2,1,2,1,1
"298","PADOM09","Sfr1",1,2,1,2,1,1
"299","PADOM11","Bel1",1,2,1,2,1,1
"300","PADOM11","Brasilandia_de_Minas",1,2,1,2,1,1
"301","PADOM11","Felixlandia",1,2,1,2,1,1
"302","PADOM11","Jau1",1,2,1,2,1,1
"303","PADOM11","Nova_Lima",1,2,1,1,1,1
"304","PADOM17","ESEC-Serra_Negra_do_Norte/RN",1,2,1,2,1,1
"305","PAMIT01","Mata_Seca",1,2,2,2,1,1
"306","PAPOL03","CLBI-Parnamirim/RN",1,2,2,2,1,1
"307","PAPOL03","Manga",1,2,1,1,1,1
"308","PHAMAL02","Rond1",1,2,1,2,1,1
"309","PHASYR01","Mindo",1,2,1,2,1,1
"310","PHASYR02","Mindo",1,2,1,2,1,1
"311","PHLNIG03","Bel1",1,2,1,2,1,1
"312","PHPAT01","Salto_da_Divisa",1,2,2,2,1,1
"313","PIPFAS02","Ina2",1,2,1,2,1,1
"314","PIRFLA05","Gra1",1,2,1,1,1,1
"315","PREGUT01","Hual4",1,2,1,1,1,1
"316","PREGUT01","Hual5",1,2,1,1,1,1
"317","PSOOCH01","Ime1",1,2,1,1,1,1
"318","RAMCAR01","Bel1",1,2,1,2,1,1
"319","SALATR01","Bra1",1,2,1,1,1,1
"320","SUISUI03","Bra1",1,2,1,1,1,1
"321","TACPHO01","Rond5",1,2,2,2,1,1
"322","TACRUB01","Rond5",1,2,1,1,1,1
"323","TANIG01","El_Bosque",1,2,1,2,1,1
"324","TANIG01","Hual4",1,2,1,2,1,1
"325","TANIG01","Podocarpus_NP",1,2,1,2,1,1
"326","TARUF01","Brasilandia_de_Minas",1,2,1,1,1,1
"327","TASCH01","Wisui",1,2,1,2,1,1
"328","THACAE01","Ina2",1,2,1,2,1,1
"329","THACAE01","Rond1",1,2,1,2,1,1
"330","THACAE01","Wisui",1,2,1,2,1,1
"331","THACAE08","Bel1",1,2,1,1,1,1
"332","THACAE08","Gui2",1,2,1,1,1,1
"333","THACAE08","Xing1",1,2,1,2,1,1
"334","THAMAE01","Bel1",1,2,1,2,1,1
"335","THAMAE01","Ina2",1,2,1,2,1,1
"336","THAMAE01","Wisui",1,2,1,2,1,1
"337","THAMAE01","Xing1",1,2,1,2,1,1
"338","THAMB02","Sooretama",1,2,1,1,1,1
"339","THAMB08","Bocaiuva",1,2,1,1,1,1
"340","THAMB09","Aracruz",1,2,1,2,1,1
"341","THAMUR01","Ina1",1,2,1,1,1,1
"342","THPEL01","Mata_Seca",1,2,1,1,1,1
"343","THSAY02","Aracruz",1,2,1,1,1,1
"344","TOFLA01","Salto_da_Divisa",1,2,1,1,1,1
"345","TOFLA03","Aracruz",1,2,1,1,1,1
"346","TREML02","Caratinga",1,2,1,1,1,1
"347","TRMEL02","Aracruz",1,2,2,2,1,1
"348","TRMUS01","Aracruz",1,2,1,1,1,1
"349","TRMUS02","ESEC-Serra_Negra_do_Norte/RN",1,2,1,1,1,1
"350","TROAED01","Carhuaz",1,2,1,1,1,1
"351","TROAED06","San_Pedro_de_Casta",1,2,1,1,1,1
"352","TROAED12","Sisicaya",1,2,1,1,1,1
"353","TROAED15","Guajalito",1,2,1,1,1,1
"354","TROAED15","San_Rafael",1,2,1,1,1,1
