"","Lineage_Name","NObs","NLocs","MST","CH","GCD","LatRg","MinLat","MaxLat","LongRg","MinLong","MaxLong","CellCount","parasiteGenus","n_sites","n_bird_individuals","n_status","riqueza","n_biomas","n_regioes","Host_Status"
"196","GALALB01",1,3,1184.03641011626,154940.054610874,993.826129218027,488.442731867446,-9.1,-4.683333,617.392884097327,-64.466667,-56.633333,3,"Plasmodium",1,1,1,1,1,1,"R"
"197","GALCYA01",1,1,0,0,NA,0,-4.683333,-4.683333,0,-56.633333,-56.633333,1,"Plasmodium",1,1,1,1,1,1,"R"
"198","GALCYA02",3,6,1439.56784361182,220625.824028437,647.138406202169,515.936303289162,-19.1130526,-14.4510092,470.239789853452,-45.5308804,-39.5655673,4,"Plasmodium",3,3,1,1,1,1,"R"
"199","GALCYA04",1,1,0,0,NA,0,-6.716667,-6.716667,0,-77.416667,-77.416667,1,"Plasmodium",1,1,1,1,1,1,"R"
"200","GALLUS01",6,1,0,0,0,0,0.325933,0.325933,0,-90.4746,-90.4746,1,"Plasmodium",6,13,1,5,2,1,"R"
"201","GEOFRE01",1,1,0,0,0,0,-4.998,-4.998,0,-62.935,-62.935,1,"Haemoproteus",1,1,1,1,1,1,"R"
"202","GEOFUL01",1,1,0,0,0,0,4.7,4.7,0,-75.483333,-75.483333,1,"Plasmodium",1,1,1,1,1,1,"R"
"203","GEOMON01",1,2,20.8662521023789,0,20.8662521023789,14.7453003064312,-6.716667,-6.583333,10.5128838774862,-77.55,-77.416667,1,"Haemoproteus",1,1,1,1,1,1,"R"
"204","GEOTRI01",1,4,2807.38938603011,516048.081222357,2389.0000728837,427.569605775991,-5.216667,-1.35,1679.78310233014,-77.733333,-56.366667,3,"Plasmodium",1,1,1,1,1,1,"R"
"205","GEOTRI02",3,1,0,0,NA,0,-13.84,-13.84,0,-39.241,-39.241,1,"Plasmodium",3,13,1,9,1,1,"R"
"206","GEOTRY01",4,1,0,0,0,0,-13.84,-13.84,0,-39.241,-39.241,1,"Haemoproteus",4,5,1,1,2,2,"R"
"207","GLAHIR01",1,1,0,0,0,0,-13.84,-13.84,0,-39.241,-39.241,1,"Plasmodium",1,1,1,1,1,1,"R"
"208","GLAHIR03",1,1,0,0,0,0,-1.483333,-1.483333,0,-78.166667,-78.166667,1,"Plasmodium",1,1,1,1,1,1,"R"
"209","GLAHIR04",1,1,0,0,0,0,-1.483333,-1.483333,0,-78.166667,-78.166667,1,"Haemoproteus",1,1,1,1,1,1,"R"
"210","GLYSPI01",1,1,0,0,0,0,-4.683333,-4.683333,0,-56.633333,-56.633333,1,"Plasmodium",1,1,1,1,1,1,"R"
"211","GLYSPI02",1,1,0,0,0,0,-0.583333,-0.583333,0,-64.916667,-64.916667,1,"Haemoproteus",1,1,1,1,1,1,"R"
