Lineage_0me;NObs;NLocs;MST;CH;GCD;LatRg;MinLat;MaxLat;LongRg;MinLong;MaxLong;CellCount;parasiteGenus;n_sites;n_bird_individuals;n_status;riqueza;n_biomas;n_regioes;Host_Status
NYMAC01;1;1;0;0;0;0;-5.5524107;-5.5524107;0;-35.103905;-35.103905;1;Haemoproteus;1;3;1;3;1;1;R
NYSCHA01;1;1;0;0;0;0;-15.533333;-15.533333;0;-47.55;-47.55;1;Haemoproteus;1;9;1;1;1;1;R
NYSMAC01;4;4;2539.7666166151;755740.320112873;1590.17530534631;1502.38291131481;-15.533333;-1.95;725.612217308308;-56.757767;-47.55;3;Haemoproteus;4;9;1;5;2;2;R
NYSMAC03;3;3;1552.45027250507;78159.6575679701;1523.7164661239;1016.45140809573;-15.533333;-6.344364;819.244578576481;-47.55;-37.152527;2;Haemoproteus;3;9;2;3;2;3;R_PM
NYSMAC04;1;1;0;0;0;0;-6.566667;-6.566667;0;-37.266667;-37.266667;1;Haemoproteus;1;1;1;1;1;1;R
P1477/478;1;1;0;0;0;0;-6.344364;-6.344364;0;-37.152527;-37.152527;1;Plasmodium;1;1;1;1;1;1;PM
P3477/478;1;1;0;0;0;0;-6.344364;-6.344364;0;-37.152527;-37.152527;1;Plasmodium;1;1;1;1;1;1;R
PACMAR01;1;1;0;0;0;0;-6.6;-6.6;0;-40.116667;-40.116667;1;Haemoproteus;1;1;1;1;1;1;R
PACPEC02;6;6;5427.71354451372;2142674.33212253;4373.66457371252;2553.42270325684;-18.4526633;4.633333;2820.95449150525;-80.616667;-44.5356927;5;Haemoproteus;6;12;2;5;2;3;R_M
PACPOL02;1;1;0;0;0;0;-6.716667;-6.716667;0;-77.416667;-77.416667;1;Plasmodium;1;1;1;1;1;1;R
PACRUF01;1;1;0;0;0;0;-3.7;-3.7;0;-46.75;-46.75;1;Plasmodium;1;1;1;1;1;1;R
PACVAL01;1;1;0;0;0;0;-15.316667;-15.316667;0;-55.866667;-55.866667;1;Haemoproteus;1;1;1;1;1;1;PM
PADOM09;38;38;13933.5761588341;11169606.7209052;4963.30785140249;3915.79254836665;-36.716667;-1.35;3492.55894093082;-79.78502;-34.9;21;Plasmodium;38;113;3;49;9;7;R_PM_M
PADOM11;17;17;6011.93838035225;3026273.54666838;2810.16803638499;2138.67821463167;-23.029538;-3.7;1877.25135070652;-59;-35.103905;9;Plasmodium;17;50;2;24;5;4;R_PM
PADOM17;3;3;2729.90483332235;20952.4229464382;2728.50004517324;1166.7360978179;-16.1;-5.5524107;1775.81806455721;-57.7;-35.103905;2;Plasmodium;3;4;3;4;3;2;R_PM_M
PADOM19;1;1;0;0;0;0;-29.4;-29.4;0;-50.8;-50.8;1;Plasmodium;1;1;1;1;1;1;PM
PAMIT01;2;2;1358.52069267246;0;1358.52069267246;990.701352280824;-14.50911;-5.5524107;669.03029041582;-43.59298;-35.103905;2;Plasmodium;2;6;2;6;2;2;R_PM
PAPOL01;2;2;4511.73038755723;0;4511.73038755723;1256.64535511139;-15.5954324;-4.23445;3091.19562757337;-79.173317;-39.5655673;2;Haemoproteus;2;9;2;9;2;2;R_PM
PAPOL02;2;2;449.392414763816;0;449.392414763816;120.200740723209;-15.5954324;-14.50911;317.516050834505;-43.59298;-39.5655673;2;Haemoproteus;2;2;2;2;1;1;R_PM
PAPOL03;6;6;2193.90503354777;549674.134136867;1751.92182229775;1110.90209251636;-15.5954324;-5.5524107;980.368488134385;-47.55;-35.103905;4;Haemoproteus;6;15;3;5;3;3;R_PM_M
PAPOL04;1;1;0;0;0;0;-15.5954324;-15.5954324;0;-39.5655673;-39.5655673;1;Haemoproteus;1;1;1;1;1;1;PM
PAPOL06;1;1;0;0;0;0;-16.5630651;-16.5630651;0;-45.5308804;-45.5308804;1;Plasmodium;1;1;1;1;1;1;PM
PAPOL07;1;1;0;0;0;0;-14.50911;-14.50911;0;-43.59298;-43.59298;1;Haemoproteus;1;3;2;3;1;1;R_PM
PARCAP01;1;1;0;0;0;0;-19.566667;-19.566667;0;-57.016667;-57.016667;1;Plasmodium;1;1;1;1;1;1;R
PARCAP02;1;1;0;0;0;0;-19.566667;-19.566667;0;-57.016667;-57.016667;1;Haemoproteus;1;1;1;1;1;1;R
PARCAP03;1;1;0;0;0;0;-19.566667;-19.566667;0;-57.016667;-57.016667;1;Plasmodium;1;1;1;1;1;1;R
