"","NObs","NLocs","MST","CH","GCD","LatRg","MinLat","MaxLat","LongRg","MinLong","MaxLong","CellCount"
"THASAT05",1,4,1697.41497191385,361032.758885935,1062.46490221891,1008.35024700621,-13.8,-4.683333,637.080788728807,-64.716667,-56.633333,4
"THASAT10",4,2,213.978041004728,0,213.978041004728,213.967428806068,-19.5907472,-17.657674,1.61859936520941,-43.5049448,-43.4844164,1
"THSAY01",1,5,2416.83514750855,829555.806192861,1649.67298350522,1631.95353554217,-18.4526633,-3.7,566.284096076966,-46.75,-39.5655673,4
"THSAY02",1,2,171.163725125394,0,171.163725125394,73.0970264081684,-16.2559998,-15.5954324,113.966361443829,-41.011001,-39.5655673,2
"TOLFLA01",1,2,234.315367173637,0,234.315367173637,209.131136555422,-18.4526633,-16.5630651,78.4669072744181,-45.5308804,-44.5356927,2
"TRMB",1,2,284.021071495029,0,284.021071495029,2.05686000546648,-19.4910125,-19.4724319,213.292913433989,-42.825918,-40.1206373,1
"TRMEL01",1,3,4765.40307631507,750552.673264701,4661.43417825455,1851.93915842424,-19.4910125,-2.75,3071.19366352655,-79.466667,-40.1206373,3
"TRMEL02",2,2,1145.43040427164,0,1145.43040427164,903.122231280723,-14.50911,-6.344364,507.675587401579,-43.59298,-37.152527,2
"TRMUS02",2,2,725.555136308617,0,725.555136308617,432.201651967852,-13.24933,-9.34215,420.912604685523,-77.50849,-72.169166,2
"TRMUS03",1,3,969.927160835711,6845.1059128223,969.586976020293,736.268587854878,-14.06,-7.4038,454.946205245276,-78.7797,-73.00848,2
"TROAED04",1,2,175.414875016634,0,175.414875016634,23.9022810030549,-11.983133,-11.76706,125.758671513785,-76.528333,-74.933333,2
"TROAED11",1,2,862.011259730188,0,862.011259730188,656.476184609658,-12.6519,-6.716667,401.506085679738,-77.416667,-72.3236,2
"TROAED13",2,16,1424.90382365549,188041.68864745,735.33002930035,716.912216184775,-5.833333,0.65,352.137953333005,-80.616667,-76.15,4
"TROAED16",1,3,895.888094284262,43907.7748963075,865.213196358003,861.091507879565,-8.38685,-0.6,86.3508195616148,-78.64518,-77.55,2
"TROAED18",3,11,3484.15184631108,1314449.22074301,2705.55402987964,2687.94121520087,-13.55515,10.75,658.67029057677,-79.233333,-70.87583,7
"TROAED20",11,2,882.782387126339,0,882.782387126339,671.221480768062,-12.6519,-6.583333,412.013638705283,-77.55,-72.3236,2
"TROAED21",1,3,629.198898471233,4088.51099437072,624.347080020381,621.229721851043,-12.2,-6.583333,44.6798084513607,-77.55,-76.983333,2
"TROAED22",2,2,1268.65087366132,0,1268.65087366132,1247.6901508187,-6.583333,4.7,162.94573507466,-77.55,-75.483333,2
"TROPER01",2,10,6360.41471350026,3771629.17452278,4698.83137632032,1542.04770471728,-19.4910125,-5.5524107,3307.54192686339,-77.55,-35.103905,8
"TROPER02",1,6,2137.63260940482,376674.180487909,1749.24887509249,459.935057912653,-19.4724319,-15.316667,1283.11495487612,-55.866667,-39.5655673,4
"TUAMA01",10,2,212.518549984559,0,212.518549984559,112.879865657543,-19.4724319,-18.4526633,134.807822716386,-44.5356927,-42.825918,1
"TULEU01",6,2,1592.58244049408,0,1592.58244049408,396.847509524937,-18.4526633,-14.866667,1138.94638264445,-59,-44.5356927,2
"TULEU04",1,8,2582.20741323614,592970.334541687,1935.06841395555,697.200467606519,-21.1658279,-14.866667,1415.45014718248,-59,-41.011001,5
"TULEU05",1,2,428.910261559352,0,428.910261559352,300.352958327279,-21.1658279,-18.4526633,230.451069938706,-47.45862,-44.5356927,2
"TULEU07",2,14,6302.52912066503,4057243.36390129,4198.71322960479,2697.05078131973,-29.466667,-5.1,2795.43445380396,-79.233333,-43.4844164,8
"TUMIG03",15,3,3485.75625366398,1126733.50658669,2703.50833752194,2254.68406759337,-29.466667,-9.1,1544.21980651955,-64.466667,-44.833333,3
"TURALB01",3,2,597.612853538514,0,597.612853538514,435.561672424236,-27.098611,-23.166667,320.018997325985,-48.8925,-44.833333,2
"TURFAL06",1,2,2640.82222137973,0,2640.82222137973,1916.03417903594,-30.205564,-12.90198,1389.17787680017,-57.495736,-39.841985,2
"TURLEU01",2,4,1142.89867781981,153817.425125049,665.607297396577,624.786478084869,-21.1658279,-15.5211053,372.587318525869,-47.552045,-42.825918,3
"TURNUD02",1,3,887.793573626385,19606.4354450409,877.631817012339,697.999375568939,-29.466667,-23.166667,420.440568359647,-50.166667,-44.833333,3
"VIOLI03",1,2,4556.93431864959,0,4556.93431864959,3773.3331614382,-29.466667,4.633333,1878.85543466408,-74.083333,-50.166667,2
"VIOLI04",1,4,7030.97374291021,5796228.04045066,4556.94413885888,3773.3331614382,-29.466667,4.633333,2877.45026323648,-74.083333,-37.266667,4
"VIROLI01",1,3,2505.90457086274,578597.496623754,2249.49408672847,967.892578686327,-15.316667,-6.566667,1463.31634059057,-55.866667,-37.266667,3
"VIROLI02",1,4,5552.06279030424,2724437.45751559,4174.06150756811,1308.8730582939,-15.533333,-3.7,2935.59393928617,-77.416667,-39.841985,4
"VOLJAC03",4,2,692.312959229484,0,692.312959229484,361.224481883429,-5.216667,-1.95,419.127138048523,-56.916667,-51.6,2
"WILPOE19",1,2,248.292443263986,0,248.292443263986,164.035625762072,-6.583333,-5.1,132.723092613238,-79.233333,-77.55,1
"ZEMAC03",1,9,8762.74524961237,9939557.94578195,4707.2132147916,4595.8370734392,-36.716667,4.8,3074.65773869915,-79.233333,-39.841985,7
"ZOCAP12",1,4,1433.55828056473,103994.447135857,1298.75313058319,1249.53321696886,-6.583333,4.716667,273.314871374487,-77.55,-74.083333,3
