"","NObs","NLocs","MST","CH","GCD","LatRg","MinLat","MaxLat","LongRg","MinLong","MaxLong","CellCount"
"NYSCHA01",1,3,1552.45027250507,78159.6575679701,1523.7164661239,1016.45140809573,-15.533333,-6.344364,819.244578576481,-47.55,-37.152527,2
"P3477/478",1,6,5427.71354451372,2142674.33212253,4373.66457371252,2553.42270325684,-18.4526633,4.633333,2820.95449150525,-80.616667,-44.5356927,5
"PACRUF01",1,38,13933.5761588341,11169606.7209052,4963.30785140249,3915.79254836665,-36.716667,-1.35,3492.55894093082,-79.78502,-34.9,21
"PACVAL01",1,17,6011.93838035225,3026273.54666838,2810.16803638499,2138.67821463167,-23.029538,-3.7,1877.25135070652,-59,-35.103905,9
"PADOM09",38,3,2729.90483332235,20952.4229464382,2728.50004517324,1166.7360978179,-16.1,-5.5524107,1775.81806455721,-57.7,-35.103905,2
"PADOM17",3,2,1358.52069267246,0,1358.52069267246,990.701352280824,-14.50911,-5.5524107,669.03029041582,-43.59298,-35.103905,2
"PADOM19",1,2,4511.73038755723,0,4511.73038755723,1256.64535511139,-15.5954324,-4.23445,3091.19562757337,-79.173317,-39.5655673,2
"PAMIT01",2,2,449.392414763816,0,449.392414763816,120.200740723209,-15.5954324,-14.50911,317.516050834505,-43.59298,-39.5655673,2
"PAPOL01",2,6,2193.90503354777,549674.134136867,1751.92182229775,1110.90209251636,-15.5954324,-5.5524107,980.368488134385,-47.55,-35.103905,4
"PARCON01",1,2,136.257510256616,0,136.257510256616,90.3025867354499,-1.483333,-0.666667,72.275906362075,-78.166667,-77.25,1
"PHAE01",1,2,48.7288883538014,0,48.7288883538014,42.3899565432992,-5.066667,-4.683333,17.0835021297505,-56.85,-56.633333,2
"PHAMAL02",2,2,222.999642894732,0,222.999642894732,222.99253714966,-2.1,-0.083333,0,-78.133333,-78.133333,1
"PHIERY03",1,4,1908.53388432612,231719.217826403,1802.20894826899,337.043612189556,-4.998,-1.95,1274.00711403479,-62.935,-46.75,4
"PHLNIG06",1,9,8205.16082052221,7789972.75281241,4322.61791708726,3040.662407665,-30.205564,-2.733333,3050.91509367166,-76.233333,-37.152527,9
"PIOLI03",1,2,709.31948608226,0,709.31948608226,72.2482411908702,-5.72,-5.066667,501.888576629636,-63.217,-56.85,2
"PIRFLA06",1,3,157.136018543329,740.657961391482,155.638273240645,28.3471473478156,-15.61953,-15.3633507,112.772533315993,-56.757767,-55.327475,1
"POPLU01",1,2,20.8602676112486,0,20.8602676112486,14.7453003064312,-6.716667,-6.583333,10.5128838774862,-77.55,-77.416667,1
"PSOOCH01",1,4,648.239334145444,31720.6373538708,608.501974699808,442.186105325068,-19.5907472,-15.5954324,310.576851686537,-43.5049448,-39.5655673,2
"PYRLEU04",1,2,1310.45520676518,0,1310.45520676518,1307.52001570075,-15.5211053,-3.7,63.2384516875825,-47.552045,-46.75,2
"RAMCAR03",1,2,358.920851397933,0,358.920851397933,357.526161187599,-2.883333,0.35,22.3399777930928,-79.716667,-79.433333,2
"SERCIN01",1,2,265.532331721316,0,265.532331721316,252.571507129163,-12.2,-9.916667,59.1349152219885,-76.983333,-76.233333,2
"SGS1",2,4,1561.69620590427,262689.024369204,1358.5344421056,990.701352280824,-14.50911,-5.5524107,669.03029041582,-43.59298,-35.103905,3
"SocH3",4,2,1891.93533811396,0,1891.93533811396,1315.02280088842,-13.84,-1.95,973.521503204416,-51.6,-39.241,2
"SPMAG04",2,4,3990.19697042763,73264.3379573771,3989.89338329203,2346.12792262807,-26.3,-5.1,2378.83948765653,-79.233333,-48.883333,2
"SPMAG06",1,2,1661.9883159792,0,1661.9883159792,20.4949635505782,-0.633333,-0.447983,1175.47511312464,-91.079517,-76.15,2
"STTA17H",1,2,1.37772102570901,0,1.37772102570901,1.35308512453026,-15.533333,-15.5211053,0.161241776999126,-47.552045,-47.55,1
"SYCIN01",1,4,2425.72141897953,377234.99623615,2049.81393967721,453.366074768702,-4.683333,-0.583333,1429.37090823866,-64.916667,-46.75,3
"TACCRI02",1,9,4159.1261960039,2062963.11747845,2369.61036608021,1292.16797847564,-13.8,-2.116667,1446.34490032667,-77.733333,-59.35,7
"TANCYA01",1,4,1465.26586539278,95228.7867201966,1420.3965548752,1387.91008761898,-12.2,0.35,274.628709368382,-79.716667,-76.233333,3
"TANCYA02",1,7,1577.67137044912,254787.609236097,1298.75806278949,1249.53321696886,-6.583333,4.716667,405.992829478501,-79.233333,-74.083333,4
"TANNIG01",1,2,248.309038284859,0,248.309038284859,164.035625762072,-6.583333,-5.1,132.723092613238,-79.233333,-77.55,1
"TANSAY01",1,3,192.346421594982,22.5294769451856,192.34428051647,3.68614811800131,4.683333,4.716667,136.665294134982,-75.566667,-73.833333,2
"TANXAN01",1,4,691.929378998791,29372.5834455182,665.601652302873,437.31338514613,-19.4724319,-15.5211053,372.587318525869,-47.552045,-42.825918,2
"TFUS04",1,3,164.870609074061,59.2742411023212,164.849190362729,9.21521808661127,4.633333,4.716667,116.954558132001,-75.566667,-74.083333,2
"THAAET02",1,8,3270.03561194815,1087711.136135,2421.77728327065,593.44911099458,-6.716667,-1.35,1687.59822572716,-77.733333,-56.266667,5
"THACAE04",1,3,1107.44893739864,33371.5992690679,1100.54801974128,259.854977183611,-3.7,-1.35,757.798194433504,-56.366667,-46.75,3
"THACAE06",1,2,1424.54771904362,0,1424.54771904362,1376.94241832012,-13.8,-1.35,261.490358587604,-59.683333,-56.366667,2
"THAFUR01",1,9,4079.74309150967,1524846.31548938,3448.85156643354,814.653738038564,-9.316667,-1.95,2427.86275678219,-77.733333,-46.75,6
"THAGLA01",1,2,3144.45452004653,0,3144.45452004653,1733.47052757488,-16.2559998,-0.583333,1877.99768133087,-64.916667,-41.011001,2
"THAMAE01",9,3,640.849447637327,43579.9542702412,551.287311230317,429.088779135666,-19.4724319,-15.5954324,257.050989862506,-42.825918,-39.5655673,2
"THAMB06",1,3,448.486296576785,24834.0606641325,343.492584725712,200.870102629851,-19.4724319,-17.657674,226.363128618952,-43.4844164,-40.613344,1
"THAMB09",1,4,1019.74166505565,91208.0748437239,943.130884196436,941.808806440053,-9.1,-0.583333,156.244277010355,-64.916667,-62.935,2
"THASAT03",1,2,45.4440808604879,0,45.4440808604879,20.2732215408479,-4.683333,-4.5,28.9104289698275,-56.633333,-56.266667,1
