"","Lineage_Name","site","n_sites","n_bird_individuals","n_status.x","riqueza","n_biomas","n_regioes","parasiteGenus","n_status.y","Host_Status"
"870","PADOM09","Recife",1,1,1,1,1,1,"Plasmodium",3,"R_PM_M"
"871","PADOM09","Saj1",1,1,1,1,1,1,"Plasmodium",3,"R_PM_M"
"872","PADOM09","Salvador",1,1,1,1,1,1,"Plasmodium",3,"R_PM_M"
"873","PADOM09","Uberlandia",1,1,1,1,1,1,"Plasmodium",3,"R_PM_M"
"874","PADOM11","Aeroporto_Viracopos",1,1,1,1,1,1,"Plasmodium",2,"R_PM"
"875","PADOM11","Bocaiuva",1,1,1,1,1,1,"Plasmodium",2,"R_PM"
"876","PADOM11","CLBI-Parnamirim/RN",1,1,1,1,1,1,"Plasmodium",2,"R_PM"
"877","PADOM11","Gurupi",1,1,1,1,1,1,"Plasmodium",2,"R_PM"
"878","PADOM11","Palmas",1,1,1,1,1,1,"Plasmodium",2,"R_PM"
"879","PADOM11","Salto_da_Divisa",1,1,1,1,1,1,"Plasmodium",2,"R_PM"
"880","PADOM17","Caceres",1,1,1,1,1,1,"Plasmodium",3,"R_PM_M"
"881","PADOM17","CLBI-Parnamirim/RN",1,1,1,1,1,1,"Plasmodium",3,"R_PM_M"
"882","PADOM19","Canela",1,1,1,1,1,1,"Plasmodium",1,"PM"
"883","PAPOL02","Mata_Seca",1,1,1,1,1,1,"Haemoproteus",2,"R_PM"
"884","PAPOL02","Salto_da_Divisa",1,1,1,1,1,1,"Haemoproteus",2,"R_PM"
"885","PAPOL03","Bra1",1,1,1,1,1,1,"Haemoproteus",3,"R_PM_M"
"886","PAPOL03","Salto_da_Divisa",1,1,1,1,1,1,"Haemoproteus",3,"R_PM_M"
"887","PAPOL03","Ser1",1,1,1,1,1,1,"Haemoproteus",3,"R_PM_M"
"888","PAPOL04","Salto_da_Divisa",1,1,1,1,1,1,"Haemoproteus",1,"PM"
"889","PAPOL06","Brasilandia_de_Minas",1,1,1,1,1,1,"Plasmodium",1,"PM"
"890","PARCAP01","Pan1",1,1,1,1,1,1,"Plasmodium",1,"R"
"891","PARCAP02","Pan1",1,1,1,1,1,1,"Haemoproteus",1,"R"
"892","PARCAP03","Pan1",1,1,1,1,1,1,"Plasmodium",1,"R"
"893","PARCAP05","Pan1",1,1,1,1,1,1,"Plasmodium",1,"R"
"894","PARCAP06","Pan1",1,1,1,1,1,1,"Plasmodium",1,"R"
"895","PARCAP08","Pan1",1,1,1,1,1,1,"Plasmodium",1,"R"
"896","PARCAP09","Pan1",1,1,1,1,1,1,"Plasmodium",1,"R"
"897","PARCON01","Pan1",1,1,1,1,1,1,"Plasmodium",1,"R"
"898","PHAE01","Rond1",1,1,1,1,1,1,"Plasmodium",1,"R"
"899","PHAMAL01","Cumanda",1,1,1,1,1,1,"Haemoproteus",1,"R"
"900","PHAMAL02","Rond2",1,1,1,1,1,1,"Plasmodium",1,"R"
"901","PHASYR02","Nueva_Alianza",1,1,1,1,1,1,"Plasmodium",1,"R"
"902","PHIERY01","Bel1",1,1,1,1,1,1,"Plasmodium",1,"R"
"903","PHIERY03","Ime1",1,1,1,1,1,1,"Plasmodium",1,"R"
"904","PHLNIG02","Tap1",1,1,1,1,1,1,"Plasmodium",1,"R"
"905","PHLNIG03","Ina1",1,1,1,1,1,1,"Plasmodium",1,"R"
"906","PHLNIG03","Xing1",1,1,1,1,1,1,"Plasmodium",1,"R"
"907","PHLNIG04","Rond1",1,1,1,1,1,1,"Haemoproteus",1,"R"
"908","PHLNIG06","Rond1",1,1,1,1,1,1,"Haemoproteus",1,"R"
"909","PHMUR01","Salto_da_Divisa",1,1,1,1,1,1,"Plasmodium",1,"PM"
"910","PHPAT01","Brasilandia_de_Minas",1,1,1,1,1,1,"Plasmodium",3,"R_PM_M"
"911","PHPAT01","Esp1",1,1,1,1,1,1,"Plasmodium",3,"R_PM_M"
"912","PHPAT01","Felixlandia",1,1,1,1,1,1,"Plasmodium",3,"R_PM_M"
"913","PHPAT01","Hu<cc><c1>nuco",1,1,1,1,1,1,"Plasmodium",3,"R_PM_M"
"914","PHPAT01","Praia_do_Meio",1,1,1,1,1,1,"Plasmodium",3,"R_PM_M"
"915","PHPAT01","Sfr1",1,1,1,1,1,1,"Plasmodium",3,"R_PM_M"
"916","PIACAY01","Hual4",1,1,1,1,1,1,"Haemoproteus",1,"R"
"917","PICFLA01","Bel1",1,1,1,1,1,1,"Plasmodium",1,"R"
"918","PIOLI03","Bogota",1,1,1,1,1,1,"Haemoproteus",1,"M"
"919","PIPCHL01","Rond5",1,1,1,1,1,1,"Plasmodium",1,"R"
"920","PIPFAS02","Rond2",1,1,1,1,1,1,"Plasmodium",1,"R"
"921","PIPFAS03","Rond1",1,1,1,1,1,1,"Plasmodium",1,"R"
"922","PIPFAS04","Ina3",1,1,1,1,1,1,"Plasmodium",1,"R"
"923","PIRFLA04","Gra1",1,1,1,1,1,1,"Haemoproteus",1,"R"
"924","PIRFLA06","Gra1",1,1,1,1,1,1,"Haemoproteus",1,"R"
"925","PISUL01","Felixlandia",1,1,1,1,1,1,"Haemoproteus",1,"R"
"926","Plasmodiumjuxtanucleare","Base_UFMT",1,1,1,1,1,1,"Plasmodium",2,"R_PM"
"927","Plasmodiumjuxtanucleare","Varzea_Grande",1,1,1,1,1,1,"Plasmodium",2,"R_PM"
"928","POMFER01","Sierra_Nevada_de_Santa_Marta",1,1,1,1,1,1,"Plasmodium",1,"R"
"929","POPLU01","CLBI-Parnamirim/RN",1,1,1,1,1,1,"Plasmodium",1,"R"
"930","PRAIRIECH","Aeroporto_de_BSB",1,1,1,1,1,1,"Plasmodium",1,"R"
"931","PSABIF01","Bel1",1,1,1,1,1,1,"Plasmodium",1,"R"
"932","PSABIF02","Bel1",1,1,1,1,1,1,"Haemoproteus",1,"R"
"933","PsDIS01","Fazenda_St._Maria",1,1,1,1,1,1,"Haemoproteus",1,"R"
"934","PSEGRI01","Hual5",1,1,1,1,1,1,"Plasmodium",1,"R"
"935","PYERY01","Hu<cc><c1>nuco",1,1,1,1,1,1,"Haemoproteus",1,"R"
"936","PYLEU01","Jequitinhonha",1,1,1,1,1,1,"Plasmodium",1,"R"
"937","PYLEU01","Nova_Lima",1,1,1,1,1,1,"Plasmodium",1,"R"
"938","PYLEU02","Nova_Lima",1,1,1,1,1,1,"Plasmodium",1,"R"
"939","PYLEU04","Salto_da_Divisa",1,1,1,1,1,1,"Plasmodium",1,"R"
"940","PYRLEP01","Bel1",1,1,1,1,1,1,"Plasmodium",1,"R"
"941","PYRLEP02","Bel1",1,1,1,1,1,1,"Plasmodium",1,"R"
"942","PYRLEU03","Bel1",1,1,1,1,1,1,"Plasmodium",1,"R"
"943","PYRLEU04","Mic1",1,1,1,1,1,1,"Plasmodium",1,"R"
"944","PYRRUB01","Esp1",1,1,1,1,1,1,"Haemoproteus",1,"M"
"945","RAMCAR01","Aeroporto_de_BSB",1,1,1,1,1,1,"Plasmodium",2,"R_PM"
"946","RAMCAR02","Rond2",1,1,1,1,1,1,"Plasmodium",1,"R"
"947","RAMCAR03","Ina2",1,1,1,1,1,1,"Plasmodium",1,"R"
"948","RAMCAR05","Ina2",1,1,1,1,1,1,"Plasmodium",1,"R"
"949","RECOB4","Bellavista",1,1,1,1,1,1,"Plasmodium",1,"R"
"950","RECOB4","Chaucha",1,1,1,1,1,1,"Plasmodium",1,"R"
"951","RHYSIM01","Rond4",1,1,1,1,1,1,"Plasmodium",1,"R"
"952","SCHRUF01","Nat1",1,1,1,1,1,1,"Plasmodium",1,"R"
"953","SCHTUR01","Rond1",1,1,1,1,1,1,"Haemoproteus",1,"R"
"954","SCHTUR02","Rond1",1,1,1,1,1,1,"Plasmodium",1,"R"
"955","SCLCAU01","Tap2",1,1,1,1,1,1,"Haemoproteus",1,"R"
"956","SCLCAU02","Xing1",1,1,1,1,1,1,"Plasmodium",1,"R"
"957","SERCIN01","Hu<cc><c1>nuco",1,1,1,1,1,1,"Haemoproteus",1,"R"
"958","SERSUB01","Esp1",1,1,1,1,1,1,"Plasmodium",1,"R"
"959","SocH3","Busca_Vida",1,1,1,1,1,1,"Haemoproteus",2,"R_PM"
"960","SocH3","Mata_Seca",1,1,1,1,1,1,"Haemoproteus",2,"R_PM"
"961","SocH4","CLBI-Parnamirim/RN",1,1,1,1,1,1,"Haemoproteus",1,"R"
"962","SPMAG04","Mic1",1,1,1,1,1,1,"Plasmodium",1,"R"
"963","SPMAG04","Xing1",1,1,1,1,1,1,"Plasmodium",1,"R"
"964","SPMAG06","Mil1",1,1,1,1,1,1,"Plasmodium",1,"R"
"965","SPMAG08","Hual3",1,1,1,1,1,1,"Plasmodium",1,"R"
"966","SPMAG08","Hual4",1,1,1,1,1,1,"Plasmodium",1,"R"
"967","SPMAG08","Hual5",1,1,1,1,1,1,"Plasmodium",1,"R"
"968","SPMAG08","Joi1",1,1,1,1,1,1,"Plasmodium",1,"R"
"969","SPMEN03","Isla_Isabela",1,1,1,1,1,1,"Plasmodium",1,"R"
"970","SPMEN03","Isla_Santa_Cruz",1,1,1,1,1,1,"Plasmodium",1,"R"
"971","SPOPLU01","Gra1",1,1,1,1,1,1,"Haemoproteus",1,"R"
"972","STTA17H","Aeroporto_Viracopos",1,1,1,1,1,1,"Haemoproteus",1,"R"
"973","SUISUI02","Aeroporto_de_BSB",1,1,1,1,1,1,"Haemoproteus",2,"R_PM"
"974","SYCIN01","Jequitinhonha",1,1,1,1,1,1,"Haemoproteus",1,"R"
"975","SYNALB01","Sta1",1,1,1,1,1,1,"Haemoproteus",1,"R"
"976","TACCRI01","Bel1",1,1,1,1,1,1,"Haemoproteus",1,"R"
"977","TACCRI01","Gui2",1,1,1,1,1,1,"Haemoproteus",1,"R"
"978","TACCRI01","Ime1",1,1,1,1,1,1,"Haemoproteus",1,"R"
"979","TACCRI01","Rond1",1,1,1,1,1,1,"Haemoproteus",1,"R"
"980","TACCRI02","Rond1",1,1,1,1,1,1,"Plasmodium",1,"R"
"981","TACRUB01","Ina1",1,1,1,1,1,1,"Plasmodium",1,"R"
"982","TACRUB01","Ina3",1,1,1,1,1,1,"Plasmodium",1,"R"
"983","TACRUB01","Pantanos_de_Villa_wtland_Reserve",1,1,1,1,1,1,"Plasmodium",1,"R"
"984","TACRUB01","Purus-Madeira",1,1,1,1,1,1,"Plasmodium",1,"R"
"985","TACRUB01","Rond3",1,1,1,1,1,1,"Plasmodium",1,"R"
"986","TACRUB01","Wisui",1,1,1,1,1,1,"Plasmodium",1,"R"
"987","TACRUB03","Nat1",1,1,1,1,1,1,"Haemoproteus",1,"R"
"988","TACRUB04","Bru1",1,1,1,1,1,1,"Plasmodium",1,"R"
"989","TACRUF01","Mil1",1,1,1,1,1,1,"Plasmodium",1,"R"
"990","TAFUF01","Felixlandia",1,1,1,1,1,1,"Plasmodium",1,"R"
"991","TANCAY01","Bra1",1,1,1,1,1,1,"Haemoproteus",1,"R"
"992","TANCHI02","Hual5",1,1,1,1,1,1,"Haemoproteus",1,"R"
"993","TANCYA02","Hual5",1,1,1,1,1,1,"Haemoproteus",1,"R"
"994","TANICT01","Bellavista",1,1,1,1,1,1,"Haemoproteus",1,"R"
"995","TANICT01","Hu<cc><c1>nuco",1,1,1,1,1,1,"Haemoproteus",1,"R"
"996","TANICT01","Pantanos_de_Villa_wtland_Reserve",1,1,1,1,1,1,"Haemoproteus",1,"R"
"997","TANIG01","Bogota",1,1,1,1,1,1,"Haemoproteus",2,"R_M"
"998","TANIG01","Cedral",1,1,1,1,1,1,"Haemoproteus",2,"R_M"
"999","TANLAB01","Hual4",1,1,1,1,1,1,"Haemoproteus",1,"R"
"1000","TANNIG01","Hual4",1,1,1,1,1,1,"Plasmodium",1,"R"
"1001","TANSAY01","Cha1",1,1,1,1,1,1,"Haemoproteus",1,"R"
"1002","TANSCH01","Hual4",1,1,1,1,1,1,"Haemoproteus",1,"R"
"1003","TANVAS02","Bosque_Palacio",1,1,1,1,1,1,"Haemoproteus",1,"R"
"1004","TANVAS02","El_Bosque",1,1,1,1,1,1,"Haemoproteus",1,"R"
"1005","TANXAN01","Hual4",1,1,1,1,1,1,"Haemoproteus",1,"R"
"1006","TARMAJ01","Mil1",1,1,1,1,1,1,"Plasmodium",1,"R"
"1007","TARUF01","Aeroporto_de_BSB",1,1,1,1,1,1,"Plasmodium",1,"R"
"1008","TARUF01","Caratinga",1,1,1,1,1,1,"Plasmodium",1,"R"
"1009","TARUF01","Felixlandia",1,1,1,1,1,1,"Plasmodium",1,"R"
"1010","TERERY01","Rond2",1,1,1,1,1,1,"Plasmodium",1,"R"
"1011","TFUS01","Chingaza_NNP,_Monterredondo",1,1,1,1,1,1,"Leucocytozoon",1,"R"
